framework_name,source,year,what_it_measures,computable_metrics,deployment_level,multi_dimensional,clinical_ai_specific,gaif4_gap_reason
NIST AI RMF 1.0,NIST AI 100-1,2023,Qualitative governance functions (Govern Map Measure Manage),No,No,No,No,No computable metrics defined; Measure function calls for quantitative assessment but does not define any
ISO/IEC 42001,ISO/IEC,2023,AI management system certification standard,No,No,No,No,Point-in-time audit; no continuous quantitative assessment
EU AI Act (Regulation 2024/1689),European Parliament,2024,Risk classification and compliance requirements for AI systems,No,No,No,No,Regulatory framework; requires risk management but defines no computable safety metrics
FLI AI Safety Index,Future of Life Institute,2025,Expert panel rates AI companies A-F across 6 safety domains,No,No (company-level),Partially,No,Rates companies not deployments; no deployment-level pipeline metrics
MedSentry,Chen et al. arXiv:2505.20824,2025,Adversarial resilience of multi-agent medical LLM systems,Partially (LCS and RS scores),Yes,No (single dimension),Yes,Single dimension (adversarial only); does not measure non-adversarial emergence or compliance or governance
Forrester AEGIS,Forrester Research,2025,Six-domain security guardrails for agentic AI,No,No,Partially,No,Security guardrail architecture; no computable clinical safety metrics
Google SAIF,Google,2023,Conceptual security framework for AI systems,No,No,No,No,Conceptual framework; no computable metrics
MITRE SAFE-AI,MITRE,2024,Security assessment framework for AI,No,No,Partially,No,Security-oriented; no clinical safety metrics
MIT AI Risk Repository,Slattery et al.,2024,Database of 1612 classified AI risks across 65 frameworks,N/A (database),N/A,Yes (catalog),No,Risk taxonomy and catalog; does not define computable deployment metrics
SaferAI Maturity Model,SaferAI,2024,AI safety maturity assessment for organizations,Partially (maturity levels),No (org-level),Partially,No,Organization-level maturity; not deployment-level pipeline assessment
DORA Metrics,Forsgren Humble Kim,2013-2024,Software delivery performance (deployment freq and lead time and change failure rate and recovery time),Yes,Yes (production),Partially (2 dimensions: throughput and stability),No,Retrospective measurement from production data; not prospective risk assessment; not clinical AI specific
OECD AI Principles,OECD,2019,Policy principles for trustworthy AI,No,No,No,No,High-level policy principles; no computable metrics
IEEE 7000,IEEE,2021,Ethical system design standard,No,No,No,No,Design process standard; no runtime safety metrics
IEEE 7010,IEEE,2020,Well-being impact assessment for AI,Partially,No,No,No,Well-being focused; not safety metrics for clinical AI pipelines
WHO Ethics and Governance of AI for Health,WHO,2021,Ethical guidance for health AI,No,No,No,Yes (health),Ethical guidance; no computable deployment metrics
FDA PCCP Framework,FDA,2023,Predetermined change control plan for AI/ML SaMD,No (process framework),Partially,No,Yes (medical devices),Addresses planned model updates; does not measure unplanned vendor behavioral changes; GDR complements this
TOGAF,The Open Group,2022,Enterprise architecture framework,No,No,No,No,Designed for deterministic systems; no AI-specific governance metrics
AWS Well-Architected AI Lens,AWS,2025,Cloud platform AI guidance,No,No,Partially,No,Vendor-specific; point-in-time assessment
Azure AI Well-Architected,Microsoft,2025,Cloud platform AI guidance,No,No,Partially,No,Vendor-specific; point-in-time assessment
MedQA,Jin et al.,2021,Medical question answering benchmark,Yes,No (model-level),No,Yes,Model-level knowledge benchmark; not pipeline safety
MMLU,Hendrycks et al.,2021,Massive Multitask Language Understanding,Yes,No (model-level),No,No,Model-level benchmark; not deployment safety
PubMedQA,Jin et al.,2019,Biomedical question answering,Yes,No (model-level),No,Yes (biomedical),Model-level benchmark; not pipeline safety
AgentHarm,Andriushchenko et al. ICLR 2025,2025,Harmfulness of LLM agents (110 tasks 11 categories),Yes,Yes,No (single dimension),No,Refusal benchmark; tests whether agents refuse harmful requests not whether plausible misinformation propagates
NetSafe,Yu et al. ACL Findings 2025,2025,Topological safety of multi-agent systems,Partially (relative rankings),Yes,No (single dimension),No,Relative topology rankings; no quantitative diagnostic like CGD; no clinical focus
GUARDIAN,Zhou Yang Wang NeurIPS 2025,2025,Temporal graph anomaly detection in multi-agent collaboration,Partially,Yes,No,No,Reactive (detects after contamination); not predictive risk assessment
Prompt Infection,Lee and Tiwari,2024,LLM-to-LLM prompt injection propagation,No (demonstrates attack),Yes,No,No,Attack demonstration; no measurement framework
CARE (ICLR 2026),ICLR,2026,Clinical accountability in multi-modal medical reasoning,Partially,Yes,No (single dimension),Yes,Evidence-grounded reasoning accountability; not pipeline safety measurement
ClinDEF,arXiv 2025,2025,Dynamic evaluation framework for LLMs in clinical reasoning,Partially,No (model-level),No,Yes,Clinical reasoning evaluation; not deployment safety
RouteLLM,Ong et al. ICLR 2025,2025,Cost-quality LLM routing,Yes,Yes,No,No,Cost-quality optimization; no data residency or safety constraints
